"Descripcion de la Partida Aduanera","Fecha","Exportador","Qty 1","U$ FOB Tot","U$ FOB Und 2","Pais de Destino","Canal"
"ARANDANOS FRESCOS (VACCINIUM MYRTILLUS)","2024-01-15","CAMPOSOL S.A.",15000,125000.50,8.33,"ESTADOS UNIDOS","Verde"
"UVAS FRESCAS DE LA VARIEDAD RED GLOBE","2024-02-10","DANPER TRUJILLO SAC",12000,98000.00,8.17,"ESPAÑA","Verde"
"ESPARRAGOS FRESCOS O REFRIGERADOS","2024-03-22","EXANDAL S.A.C.",8500,45000.75,5.29,"ESTADOS UNIDOS","Naranja"
"ARANDANOS FRESCOS (VACCINIUM MYRTILLUS)","2024-04-05","CAMPOSOL S.A.",20000,180000.00,9.00,"CHINA","Verde"
"MANGOS FRESCOS DE LA VARIEDAD KENT","2024-05-18","SUNSHINE EXPORTS SAC",18000,75000.00,4.16,"PAISES BAJOS","Rojo"
"ARANDANOS FRESCOS (VACCINIUM MYRTILLUS)","2025-01-20","CAMPOSOL S.A.",22000,210000.00,9.55,"ESTADOS UNIDOS","Verde"
"UVAS FRESCAS DE LA VARIEDAD RED GLOBE","2025-02-14","DANPER TRUJILLO SAC",15000,135000.00,9.00,"CHINA","Verde"
"ESPARRAGOS FRESCOS O REFRIGERADOS","2025-03-10","EXANDAL S.A.C.",10000,58000.00,5.80,"ALEMANIA","Verde"
"MANGOS FRESCOS DE LA VARIEDAD KENT","2025-04-25","SUNSHINE EXPORTS SAC",25000,110000.00,4.40,"ESTADOS UNIDOS","Verde"
"PALTAS FRESCAS O SECA DE LA VARIEDAD HASS","2025-05-30","AVOCADO PERU S.A.C.",30000,240000.00,8.00,"ESPAÑA","Naranja"
"PALTAS FRESCAS O SECA DE LA VARIEDAD HASS","2025-06-12","CAMPOSOL S.A.",28000,225000.00,8.03,"CHINA","Verde"
"ARANDANOS FRESCOS (VACCINIUM MYRTILLUS)","2025-07-08","EXANDAL S.A.C.",19000,175000.00,9.21,"ESTADOS UNIDOS","Verde"
